1477,7388,5911,1,1
9298,11567,2269,4,1
12291,16097,3806,5,1
16209,22493,6284,4,1
22642,26538,3896,3,1
26611,43088,16477,5,1
43163,47164,4001,4,1
47223,55640,8417,3,1
675,6135,5460,1,10
6161,9810,3649,3,10
9877,16566,6689,4,10
16648,20675,4027,6,10
20769,22200,1431,3,10
366,4600,4234,3,2
4633,8066,3433,5,2
8133,9800,1667,1,2
11196,12213,1017,1,2
12672,24166,11494,3,2
24300,33800,9500,4,2
1352,8294,6942,1,3
10294,13999,3705,3,3
14058,16617,2559,4,3
16676,23500,6824,3,3
25734,50823,25089,5,3
1016,2868,1852,6,4
3672,7049,3377,1,4
8442,11967,3525,6,4
12048,14737,2689,5,4
14835,16802,1967,1,4
16851,25360,8509,5,4
25572,28687,3115,1,4
28810,37244,8434,5,4
37392,41130,3738,1,4
41508,46750,5242,6,4
46966,48917,1951,1,4
49081,52769,3688,6,4
52819,56065,3246,3,4
57131,60000,2869,3,4
629,4907,4278,1,5
4925,11074,6149,3,5
11092,17166,6074,4,5
17222,23240,6018,6,5
23351,45259,21908,5,5
45314,48870,3556,3,5
53907,58905,4998,6,5
58961,60000,1039,3,5
1733,8500,6767,1,6
8500,10633,2133,4,6
10733,14166,3433,6,6
14266,16466,2200,4,6
18360,21200,2840,6,6
21300,26520,5220,5,6
28399,35240,6841,3,6
63,5234,5171,1,7
5255,15319,10064,4,7
15509,23211,7702,5,7
24127,26361,2234,3,7
26489,37957,11468,5,7
38062,45085,7023,3,7
49085,51902,2817,6,7
52127,55468,3341,3,7
55669,59393,3724,3,7
764,26293,25529,3,8
27087,29911,2824,4,8
35117,40793,5676,5,8
40881,53760,12879,3,8
52,1631,1579,3,9
1666,7719,6053,6,9
7841,10718,2877,3,9
10789,15052,4263,6,9
15122,17175,2053,3,9
17894,18911,1017,6,9
18929,20719,1790,3,9
22526,26526,4000,5,9
27395,29658,2263,5,9
29807,51122,21315,3,9
51333,52999,1666,4,9
53087,60000,6913,3,9
2500,9100,6600,1,11
9544,14635,5091,4,11
14727,20545,5818,5,11
20636,23454,2818,1,11
23555,25944,2389,4,11
26055,36277,10222,5,11
36444,45666,9222,3,11
45861,52027,6166,5,11
52416,54880,2464,3,11
46,1609,1563,3,20
1984,9450,7466,1,20
9561,11577,2016,3,20
11624,12983,1359,4,20
13031,15828,2797,3,20
15843,17609,1766,4,20
17686,19280,1594,3,20
19390,26015,6625,5,20
26093,31625,5532,6,20
31687,34390,2703,5,20
34436,39875,5439,6,20
39968,52577,12609,5,20
52671,53874,1203,6,20
54014,57467,3453,5,20
57577,60000,2423,3,20
513,10837,10324,1,12
10935,14328,3393,5,12
14553,16978,2425,1,12
17116,19373,2257,3,12
21015,22770,1755,6,12
